PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,OpeningTags
0MRfz,rn3rk1/pppq1ppp/4b3/2bnP1B1/2B5/5N2/PPP2PPP/RN1Q1RK1 w - - 7 9,b1c3 d5c3 d1d7 b8d7 c4e6 c3e2 g1h1 f7e6,2080,75,88,1098,advantage intermezzo opening veryLong,Bishops Opening: Khan Gambit
0MY0V,2kr3r/pb1p1ppp/1p1Np3/4P1q1/1n1PQ3/8/1BP2P2/R3K2R b KQ - 1 18,c8b8 e4b7,1111,81,82,174,mate mateIn1 middlegame oneMove queensideAttack,Sicilian Defense: Wing Gambit Deferred
0Mbjw,r1bqr1k1/pppn1pbp/5np1/8/1PP1p3/2N3P1/PB1NPPBP/R2Q1RK1 w - - 1 13,c3e4 f6e4 b2g7 e4d2 d1d2 g8g7,1250,78,93,16149,advantage hangingPiece long opening,Indian Defense: Kings Indian Variation
0Ml0N,r1bq1rk1/pp4bp/6p1/5p2/3np3/1PB3P1/P2QPPBP/R3NRK1 b - - 0 17,d4e2 d2e2 g7c3 e2c4,1012,86,94,477,advantage master opening short,Dutch Defense: Leningrad Variation
0Mxgc,rnbqk2r/ppp5/4p3/3pPppp/1b1Pn3/2N1BQ2/PPP1NPPP/R3KB1R w KQkq f6 0 10,e5f6 g5g4 f3f4 b4d6 f6f7 e8f8 c3e4 d6f4,1828,75,93,1085,advantage defensiveMove middlegame trappedPiece veryLong,French Defense: MacCutcheon Variation
0NKPs,r1bq1rk1/4ppbp/p1p2np1/2pp4/N4B2/3P2P1/PPP1PPBP/R2QK2R w KQ - 2 10,a4c5 d8a5 d1d2 a5c5,1130,75,96,3395,crushing fork master middlegame short,Hungarian Opening: Sicilian Invitation
0NMJB,r1bq1rk1/ppn2pbp/3p1np1/3P4/2P1p3/4B1PP/PP2NPB1/RN1Q1RK1 b - - 0 12,f6d5 c4d5,1107,104,86,66,advantage oneMove opening,Indian Defense: Tartakower Attack
0NRqp,rnbkQ2r/ppppb2p/3N1n2/8/4P3/2N5/PPPP3P/R1B1KB1q b Q - 4 12,f6e8 d6f7,933,77,96,1179,mate mateIn1 oneMove opening smotheredMate,Kings Gambit Accepted: Quade Gambit
0NSjD,r3k2r/p1qn1ppp/2pbpn2/1p6/3P4/P2Q1N1P/1PP1NPP1/R1B2RK1 w kq - 0 13,c1f4 d6f4 e2f4 c7f4,858,93,94,707,crushing middlegame short,Scandinavian Defense: Classical Variation
0NT3T,1rb1r2k/2qnbpp1/p3p3/2ppP2Q/5P2/1p2P3/PBBN2PP/R5K1 b - - 1 19,h8g8 h5h7 g8f8 h7h8,1208,81,80,86,kingsideAttack mate mateIn2 middlegame short,Rubinstein Opening: Classical Defense
0NViW,r1bqkb1r/pp4pp/2p5/2N5/3p1P2/6B1/PP3PPP/R2QKB1R b KQkq - 0 13,f8c5 d1h5 g7g6 h5c5,1191,81,83,116,crushing fork middlegame short,Queens Gambit Declined: Barmen Variation
0NVvX,rn1q1rk1/p4p1p/2p1p1p1/1pPpPb2/8/5P2/PP2P1PP/R1BQKB1R w KQ - 1 14,c1h6 d8h4 g2g3 h4h6,1502,81,88,49,advantage fork middlegame short,Slav Defense: Breyer Variation
0NZwv,r3k2r/p4ppp/1pq1p3/2bn4/8/2NR2P1/PPQ1PP1P/R1B3K1 w kq - 3 16,c3d5 c5f2 g1f2 c6c2,1242,75,95,8237,crushing discoveredAttack middlegame short,Queens Indian Defense: Fianchetto Variation
0NcCy,2r2rk1/4qppp/bppbp3/4P3/2P1Q3/Pp4P1/1B3PBP/2RR2K1 b - - 0 18,d6a3 b2a3 e7a3 c1a1 a3c5 a1a6,1335,75,95,3826,advantage long middlegame skewer,English Opening: Neo-Catalan
0NzFZ,rnb2r2/pp3pk1/3p2p1/q2Np3/4n3/2P2N2/PP2BPP1/R2QK2R b KQ - 1 13,c8e6 d1c1 e6d5 c1h6 g7f6 h6f8,2246,76,96,521,advantage deflection long middlegame quietMove sacrifice skewer,Pirc Defense: Bayonet Attack
0OAV9,3rkb1r/pp2pppp/2p2n2/8/4P1b1/1Bq3Q1/PPP2PPP/R1B1K2R w KQk - 0 11,b2c3 d8d1,711,96,91,233,mate mateIn1 middlegame oneMove,Sicilian Defense: Godiva Variation
0OGxj,r3r1k1/pbpp1p1p/1p4p1/2b1n3/4NP2/2P1P1Pq/PPB1Q2P/R1B2RK1 b - - 0 16,e5g4 e2g4 h3g4 e4f6 g8g7 f6g4,1461,76,87,813,attraction crushing fork long middlegame sacrifice,Englund Gambit Complex: Felbecker Gambit
0OkuC,rnb1r1k1/ppq1n1pp/5p2/b2p3Q/4P2N/2NP2P1/PPPK2BP/5R1R b - - 1 16,d5d4 h5e8,840,87,95,389,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,Kings Gambit Declined: Keenes Defense
0P64b,rn1qr1k1/ppp2ppp/1n3N2/3p4/2P3b1/1P3NP1/P2PQPBP/1R3RK1 b - - 0 15,d8f6 e2e8,455,106,86,389,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,Alekhine Defense: Two Pawns Attack
0P6x5,r2qk3/ppp1br2/6QP/5n2/8/2P2P1N/PP2P2P/RN2K2R w KQq - 3 16,h6h7 e7h4 h3f2 h4f2 e1f1 d8h4 h7h8r h4h8,2188,80,89,284,attackingF2F7 clearance crushing middlegame veryLong,Indian Defense: Gibbins-Weidenhagen Gambit
